I.D,x-coord,y-coord,Attraction points_Proximity,Attraction points_Availability,Performing art_Proximity,Performing art_Availability,Cinemas_Proximity,Cinemas_Availability,Cafes_Proximity,Cafes_Availability,Restaurants_Proximity,Restaurants_Availability,Time_0,Time_1,Time_2,Time_3,Time_4,Time_5
0,11988.135,11561.645,1.9,7,1,11,1.4,6,0.3,38.9,0.2,64.3,0,0,0,0,0,0
1,12088.06,11564.93,1.9,7,0.9,11,1.6,6,0.3,29.8,0.2,54.4,0,0,0,0,0,0
2,12187.985,11568.21,2,7,1,11,1.7,6,0.1,29,0.3,56,0,0,0,0,0,0
3,12287.91,11571.49,2.1,7,1,11,1.6,6,0,31.5,0.3,47.9,0,0,0,0,0,0
4,12387.835,11574.77,2.1,7,1.1,11,1.7,6,0.1,26.1,0.4,40.2,0,0,0,0,0,0
5,11591.715,11448.6,1.7,7,1.1,11,0.9,6,0.3,27.5,0.3,36.5,0,0,0,0,0,0
6,11691.64,11451.88,1.7,7,1,11,0.9,6,0.3,40.9,0.3,48.8,0,0,0.08592,0.403304,0.437513,0.349779
7,11791.565,11455.16,1.8,7,1.2,11,1.1,6,0.3,37.8,0.3,39.2,0,0,0,0,0,0
8,11891.49,11458.44,1.7,7,0.9,11,1.4,6,0.2,35.9,0.2,71.3,0,0,0,0,0,0
9,11991.415,11461.725,1.8,7,0.9,11,1.4,6,0.2,39,0.1,73.1,0,0,0,0,0,0
10,12091.34,11465.005,1.9,7,0.9,11,1.5,6,0.3,32,0.2,58.7,0,0,0,0,0,0
11,12191.265,11468.285,2,7,1,11,1.7,6,0.2,25,0.3,52.9,0,0,0,0,0,0
12,12291.195,11471.565,2,7,1,11,1.7,6,0.2,25.3,0.3,50.4,0,0,0,0,0,0
13,12391.115,11474.845,2.2,7,1.2,10.5,1.9,6,0.3,21.1,0.5,32.1,0,0,0,0,0,0
14,12491.045,11478.125,2.2,7,1.2,10.8,1.9,6,0.3,21.3,0.5,30.4,0,0,0,0,0,0
15,12590.97,11481.405,2.3,7,1.3,10.1,2,6,0.3,24.2,0.4,30.3,0,0,0,0,0,0
16,12690.895,11484.685,2.5,7,1.3,10,2.2,6,0.2,24,0.3,29,0,0,0,0,0,0
17,12790.82,11487.965,2.6,7,1.3,10.1,2.2,6,0.1,23.2,0.2,34.6,0.034997,0.419794,0.234327,0.134435,0.092806,0.858547
