I.D,x-coord,y-coord,Attraction points_Proximity,Attraction points_Availability,Performing art_Proximity,Performing art_Availability,Cinemas_Proximity,Cinemas_Availability,Cafes_Proximity,Cafes_Availability,Restaurants_Proximity,Restaurants_Availability,Time_0,Time_1,Time_2,Time_3,Time_4,Time_5
0,11988.135,11561.645,0.781609,0.777778,0.891304,0.733333,0.87037,0.75,0.945455,0.403527,0.909091,0.358018,1,1,1,1,1,1
1,12088.06,11564.93,0.781609,0.777778,0.902174,0.733333,0.851852,0.75,0.945455,0.309129,0.909091,0.302895,1,1,1,1,1,1
2,12187.985,11568.21,0.770115,0.777778,0.891304,0.733333,0.842593,0.75,0.981818,0.30083,0.863636,0.311804,1,1,1,1,1,1
3,12287.91,11571.49,0.758621,0.777778,0.891304,0.733333,0.851852,0.75,1,0.326763,0.863636,0.266704,1,1,1,1,1,1
4,12387.835,11574.77,0.758621,0.777778,0.880435,0.733333,0.842593,0.75,0.981818,0.270747,0.818182,0.223831,1,1,1,1,1,1
5,11591.715,11448.6,0.804598,0.777778,0.880435,0.733333,0.916667,0.75,0.945455,0.28527,0.863636,0.203229,1,1,1,1,1,1
6,11691.64,11451.88,0.804598,0.777778,0.891304,0.733333,0.916667,0.75,0.945455,0.424274,0.863636,0.271715,1,1,0.970588,0.921053,0.916667,0.964286
7,11791.565,11455.16,0.793103,0.777778,0.869565,0.733333,0.898148,0.75,0.945455,0.392116,0.863636,0.218263,1,1,1,1,1,1
8,11891.49,11458.44,0.804598,0.777778,0.902174,0.733333,0.87037,0.75,0.963636,0.372407,0.909091,0.396993,1,1,1,1,1,1
9,11991.415,11461.725,0.793103,0.777778,0.902174,0.733333,0.87037,0.75,0.963636,0.404564,0.954545,0.407016,1,1,1,1,1,1
10,12091.34,11465.005,0.781609,0.777778,0.902174,0.733333,0.861111,0.75,0.945455,0.33195,0.909091,0.326837,1,1,1,1,1,1
11,12191.265,11468.285,0.770115,0.777778,0.891304,0.733333,0.842593,0.75,0.963636,0.259336,0.863636,0.294543,1,1,1,1,1,1
12,12291.195,11471.565,0.770115,0.777778,0.891304,0.733333,0.842593,0.75,0.963636,0.262448,0.863636,0.280624,1,1,1,1,1,1
13,12391.115,11474.845,0.747126,0.777778,0.869565,0.7,0.824074,0.75,0.945455,0.21888,0.772727,0.178731,1,1,1,1,1,1
14,12491.045,11478.125,0.747126,0.777778,0.869565,0.72,0.824074,0.75,0.945455,0.220954,0.772727,0.169265,1,1,1,1,1,1
15,12590.97,11481.405,0.735632,0.777778,0.858696,0.673333,0.814815,0.75,0.945455,0.251037,0.818182,0.168708,1,1,1,1,1,1
16,12690.895,11484.685,0.712644,0.777778,0.858696,0.666667,0.796296,0.75,0.963636,0.248963,0.863636,0.16147,1,1,1,1,1,1
17,12790.82,11487.965,0.701149,0.777778,0.858696,0.673333,0.796296,0.75,0.981818,0.240664,0.909091,0.19265,0.909091,0.909091,0.919786,0.973684,0.982323,0.912338
18,12890.745,11491.245,0.701149,0.777778,0.847826,0.68,0.787037,0.75,0.981818,0.209544,0.954545,0.177617,0.909091,0.909091,0.919786,0.973684,0.982323,0.912338
19,12990.67,11494.53,0.689655,0.777778,0.836957,0.666667,0.777778,0.75,0.963636,0.207469,1,0.164811,0.909091,0.909091,0.919786,0.973684,0.982323,0.912338
20,13090.595,11497.81,0.666667,0.777778,0.826087,0.666667,0.768519,0.75,0.963636,0.193983,0.954545,0.177617,0.875,0.875,0.889706,0.963816,0.975694,0.879464
21,13190.52,11501.09,0.666667,0.777778,0.815217,0.666667,0.759259,0.75,0.963636,0.173237,0.909091,0.163697,0.875,0.875,0.889706,0.963816,0.975694,0.879464
22,13390.375,11507.65,0.632184,0.777778,0.793478,0.666667,0.740741,0.75,0.981818,0.115145,1,0.162584,1,1,1,1,1,1
23,13490.295,11510.93,0.609195,0.777778,0.782609,0.666667,0.731481,0.75,0.963636,0.114108,0.954545,0.155345,1,1,1,1,1,1
24,13590.225,11514.215,0.597701,0.777778,0.76087,0.666667,0.712963,0.75,0.945455,0.114108,0.909091,0.151448,1,0.994792,0.808824,0.75,0.75,0.5
25,13690.15,11517.495,0.586207,0.777778,0.75,0.666667,0.703704,0.75,0.909091,0.0861,0.863636,0.146993,1,1,1,1,1,1
26,10895.52,11325.71,0.83908,0.777778,0.967391,0.733333,0.962963,0.75,0.963636,0.209544,0.863636,0.148107,1,1,1,1,1,1
27,10995.445,11328.99,0.827586,0.777778,0.945652,0.733333,0.990741,0.75,0.945455,0.242739,0.954545,0.218263,1,1,1,1,1,1
28,11095.37,11332.27,0.827586,0.777778,0.934783,0.733333,0.990741,0.75,0.963636,0.263485,1,0.244432,0.8,0.8,0.823529,0.942105,0.961111,0.807143
29,11195.295,11335.555,0.850575,0.777778,0.934783,0.733333,0.953704,0.75,0.981818,0.28112,0.954545,0.320156,1,1,1,1,1,1
30,11594.995,11348.675,0.804598,0.777778,0.891304,0.733333,0.916667,0.75,0.963636,0.363071,0.909091,0.233853,1,1,0.764706,0.736842,0.777778,0.928571
31,11694.92,11351.955,0.804598,0.777778,0.880435,0.733333,0.907407,0.75,0.945455,0.304979,0.863636,0.202673,1,1,1,1,1,1
32,11794.845,11355.235,0.793103,0.777778,0.880435,0.733333,0.898148,0.75,0.927273,0.318465,0.818182,0.200445,1,1,1,1,1,1
33,11894.77,11358.515,0.816092,0.777778,0.913043,0.733333,0.87963,0.75,0.981818,0.335062,0.909091,0.462695,1,1,1,1,1,1
34,11994.695,11361.795,0.804598,0.777778,0.913043,0.733333,0.87037,0.75,0.981818,0.365145,1,0.454343,1,1,1,1,1,1
35,12094.625,11365.075,0.793103,0.777778,0.913043,0.733333,0.87037,0.75,0.963636,0.348548,0.954545,0.433185,1,0.994792,0.808824,0.75,0.75,0.5
36,12194.545,11368.36,0.770115,0.777778,0.913043,0.733333,0.851852,0.7625,0.945455,0.293568,0.909091,0.327951,1,1,1,1,1,1
37,12294.475,11371.64,0.770115,0.777778,0.891304,0.733333,0.842593,0.75,0.945455,0.221992,0.863636,0.247773,1,1,1,1,1,1
38,12394.4,11374.92,0.747126,0.777778,0.880435,0.733333,0.833333,0.75,0.945455,0.174274,0.818182,0.172049,1,1,1,1,1,1
39,12494.325,11378.2,0.735632,0.777778,0.858696,0.686667,0.814815,0.75,0.927273,0.141079,0.727273,0.11637,1,1,1,1,1,1
40,12594.25,11381.48,0.724138,0.777778,0.858696,0.666667,0.805556,0.75,0.909091,0.137967,0.727273,0.097439,1,1,1,1,1,1
41,12694.175,11384.76,0.701149,0.777778,0.847826,0.666667,0.787037,0.75,0.945455,0.197095,0.818182,0.122494,0.909091,0.909091,0.919786,0.973684,0.982323,0.912338
42,12794.1,11388.04,0.701149,0.777778,0.869565,0.733333,0.787037,0.75,0.981818,0.245851,0.863636,0.206013,0.909091,0.909091,0.919786,0.973684,0.982323,0.912338
43,12894.025,11391.325,0.689655,0.777778,0.858696,0.72,0.787037,0.75,0.963636,0.209544,0.909091,0.183185,0.909091,0.909091,0.919786,0.973684,0.982323,0.912338
44,12993.95,11394.605,0.678161,0.777778,0.847826,0.706667,0.777778,0.75,0.963636,0.188797,0.954545,0.187639,0.909091,0.909091,0.919786,0.973684,0.982323,0.912338
45,13093.875,11397.885,0.666667,0.777778,0.836957,0.7,0.777778,0.75,0.963636,0.176349,0.954545,0.212138,0.875,0.875,0.889706,0.963816,0.975694,0.879464
46,13193.8,11401.165,0.655172,0.777778,0.826087,0.666667,0.768519,0.75,0.945455,0.165975,0.909091,0.173163,0.875,0.875,0.889706,0.963816,0.975694,0.879464
47,13393.655,11407.725,0.609195,0.777778,0.793478,0.666667,0.740741,0.75,0.963636,0.115145,0.954545,0.164811,0.5,0.5,0.558824,0.855263,0.902778,0.517857
48,13493.58,11411.005,0.609195,0.777778,0.782609,0.666667,0.731481,0.75,0.963636,0.121369,0.954545,0.1598,0.5,0.5,0.558824,0.855263,0.902778,0.517857
49,13593.505,11414.285,0.609195,0.777778,0.782609,0.666667,0.731481,0.75,0.945455,0.134855,1,0.16147,1,0.994792,0.808824,0.75,0.75,0.5
50,13693.43,11417.565,0.586207,0.777778,0.771739,0.666667,0.722222,0.75,0.927273,0.120332,0.954545,0.16147,1,1,1,1,1,1
51,13793.355,11420.845,0.574713,0.777778,0.76087,0.666667,0.712963,0.75,0.927273,0.103734,0.909091,0.150334,0.9,0.9,0.911765,0.971053,0.980556,0.903571
52,13893.28,11424.125,0.563218,0.777778,0.73913,0.666667,0.694444,0.75,0.909091,0.093361,0.818182,0.111359,1,1,1,1,1,1
53,13993.205,11427.41,0.574713,0.866667,0.728261,0.666667,0.685185,0.75,0.909091,0.087137,0.818182,0.111359,0.9,0.9,0.911765,0.971053,0.980556,0.903571
54,14093.135,11430.69,0.586207,0.888889,0.717391,0.666667,0.675926,0.75,0.927273,0.058091,0.863636,0.10078,0.9,0.9,0.911765,0.971053,0.980556,0.903571
55,14193.06,11433.97,0.597701,0.888889,0.717391,0.666667,0.675926,0.75,0.945455,0.054979,0.909091,0.098552,1,1,1,1,1,1
56,15691.95,11483.175,0.586207,0.666667,0.586957,0.2,0.490741,0,0.6,0,0.727273,0.010579,1,1,1,1,1,1
57,15791.875,11486.455,0.597701,0.666667,0.597826,0.2,0.481481,0,0.581818,0,0.772727,0.011136,1,1,1,1,1,1
58,15891.805,11489.74,0.586207,0.666667,0.586957,0.2,0.481481,0,0.563636,0,0.772727,0.011136,1,1,1,1,1,1
59,15991.73,11493.02,1,0,1,0,1,0,1,0,1,0,1,1,1,1,1,1
60,16191.585,11499.58,0.62069,0.666667,0.630435,0.193333,0.462963,0,0.618182,0,0.954545,0.011136,0.95,0.95,0.955882,0.985526,0.990278,0.951786
61,10898.805,11225.785,0.850575,0.777778,0.934783,0.733333,0.981481,0.75,0.945455,0.185685,0.954545,0.151448,0.8,0.8,0.823529,0.942105,0.961111,0.807143
62,10998.725,11229.065,0.83908,0.777778,0.923913,0.733333,0.990741,0.75,0.945455,0.221992,0.954545,0.210468,0.8,0.8,0.823529,0.942105,0.961111,0.807143
63,11098.655,11232.345,0.827586,0.777778,0.923913,0.733333,0.990741,0.75,0.945455,0.219917,0.954545,0.200445,0.8,0.8,0.823529,0.942105,0.961111,0.807143
